"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"FIN","310","Investments","2691","Finance","11","8","6","4","1","0","0","0","0","0","0","0","0","0","0","1","Bakke, Tor-Erik","31"
"GEMS","599","Mentored Research","2718","Administration","0","0","0","0","0","0","0","0","0","0","0","0","0","30","0","0","Sharma, Kamal","30"
"HIST","105","Global Transformations","2316","History","12","12","2","0","0","0","0","0","0","0","0","0","0","0","0","1","Daly, Jonathan W.","27"
"HIST","199","Chicago and the World","2316","History","4","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Davis, Cory A","10"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","21","9","8","2","1","0","0","0","0","0","0","0","0","0","0","0","Patel, Neel Vasudev","41"
"ACTG","445","Federal Income Tax I","2656","Accounting","10","10","4","3","0","0","0","0","0","0","0","0","0","0","0","1","Savoy, Steven J","28"
"ACTG","474","Actg Information Systems","2656","Accounting","5","5","3","2","1","0","0","0","0","0","0","0","0","0","0","1","Gelsomin, Eric","17"
"BHIS","543","Health Care Project Management","2318","Biomed & Health Info Sciences","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Marcotte, Jill Linda","15"
"BIOS","104","Biology for Non-majors","2453","Biological Sciences","22","7","5","1","2","0","0","0","1","0","0","0","0","0","0","1","Muller, Michael T","39"
"BVIS","538","Medical Legal Visualization","2318","Biomed & Health Info Sciences","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Antia-Obong, Amami Elizabeth","11"
"CHEM","234","Chemical Synthesis","2458","Chemistry","6","10","16","5","2","0","0","0","0","0","0","0","0","0","0","2","Yermolina, Maria V","41"
"CHSC","430","Public Health Policy","2245","Community Health Sciences","9","8","1","0","1","0","0","0","0","0","0","0","0","0","0","1","Cochran, Laura M","20"
"CLER","619","Surgery","2848","Surgery","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","Munaco, Anthony J","16"
"CLER","633","Pediatrics","2339","Pediatrics","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","Thomas, Dorian E","6"
"CME","494","CME Project Financial Mgmt","2737","Civil, Matls & Env Engineering","8","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Ataei, Hossein","12"
"COMM","101","Intro to Communication","2493","Communication","6","9","2","1","0","0","0","0","0","0","0","0","0","0","0","1","Puig Abril, Eulalia","19"
"CS","474","Obj-Oriented Langs & Envs","2699","Computer Science","3","7","5","3","1","0","0","0","0","0","0","0","0","0","0","2","Grechanik, Mark","21"
"DAOB","341","Applied Oral and Behav Sci IX","2758","Dentistry Administration","55","29","0","0","0","0","0","33","0","0","0","0","0","0","0","0","Ward, Stephanie M","117"
"DBCS","302","Biomed & Clinical Sciences","2758","Dentistry Administration","32","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Odeh, Luma Adnan Abed","52"
"DIT","341","Integrated Topics IV","2758","Dentistry Administration","64","40","13","0","0","0","0","0","0","0","0","0","0","0","0","0","Fang, Qiao","117"
"ECON","121","Principles of Macroeconomics","2525","Economics","0","0","0","0","0","0","0","0","0","0","24","0","0","0","0","0","Grad Asst","24"
"EPSY","522","Internship in Early Childhood","2621","Educational Psychology","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Delgado, Christina","13"
"GLAS","290","Topics Asian American Studies","2873","Prog in Global Asian Studies","19","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Martell, Mark R","20"
