"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ART","250","New Media:Embodied Soundscape","2583","Art","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","Moreno, Sal","13"
"ART","330","Topics/Paint: Through The Body","2583","Art","16","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","Hobson, Kyrin Ealy","20"
"ART","402","Senior Projects: Thesis","2583","Art","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Peterman, Dan","34"
"ART","484","Ed Practicum with Seminar I","2583","Art","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Estrada, William","26"
"ART","485","Ed Practicum with Seminar II","2583","Art","23","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sandlos, Karyn","26"
"BA","220","Business Prof Dev II","2785","Business Administration Admini","125","11","4","0","1","0","0","0","0","0","0","0","0","0","0","1","Lord, Morgan","142"
"BA","220","Business Prof Dev II","2785","Business Administration Admini","38","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","Soriano, Diana Ethel","40"
"BA","320","Civic Engagement","2785","Business Administration Admini","41","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","Lewis, Keith D","45"
"BA","330","Bus Dec Mkng for BBA Online","2785","Business Administration Admini","0","0","0","0","0","0","0","0","0","0","35","0","0","0","0","0","Adams, Vangeliya Pavlova","35"
"BA","420","Professional Presence","2785","Business Administration Admini","46","11","3","0","1","0","0","0","0","0","0","0","0","0","0","0","Anderson, Stephanie Leigh","61"
"BHIS","405","Med Sci & Humn Pathophysiology","2318","Biomed & Health Info Sciences","4","4","1","2","2","0","0","0","0","0","0","0","0","0","0","0","Mills, Laura Lynn","13"
"BHIS","530","Topics in Hlth Informatics","2318","Biomed & Health Info Sciences","15","12","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Staley, Corinn","31"
"BIOS","196","Biology Colloquium","2453","Biological Sciences","38","8","3","1","3","0","0","0","0","0","0","0","0","0","0","1","Nelson, Karin Noel","54"
"BIOS","286","Biology of Brain","2453","Biological Sciences","84","55","40","16","8","0","0","0","0","0","0","0","0","0","0","1","Tchernookova, Boriana Krassimirova","204"
"BME","240","Modeling Data and Systems","2437","Biomedical Eng - Engineering","33","9","5","0","0","0","0","0","1","0","0","0","0","0","0","1","Wu, Ming","49"
"BME","408","Medical Product Development","2437","Biomedical Eng - Engineering","10","15","4","0","0","0","0","0","0","0","0","0","0","0","0","0","Layton, Terry N","29"
"CHEM","234","Chemical Synthesis","2458","Chemistry","45","20","26","11","6","0","0","0","0","0","0","0","0","0","0","12","Driver, Tom G","120"
"CHEM","234","Chemical Synthesis","2458","Chemistry","28","28","44","10","8","0","0","0","0","0","0","0","0","0","0","7","Yermolina, Maria V","125"
"CHEM","235","Advanced Synthesis Techniques","2458","Chemistry","23","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","Wardrop, Duncan J","25"
"ACTG","211","Intro Managerial Accounting","2656","Accounting","60","48","26","4","2","0","0","0","0","0","0","0","0","0","0","1","Chang, Nathan","141"
"ANTH","420","How Museums Work","2841","Anthropology","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Parkinson, William Arthur","12"
"ANTH","437","Bioarchaeology","2841","Anthropology","7","1","1","1","1","0","0","0","0","0","0","0","0","0","0","1","Sacks, Lita","12"
"ARAB","103","Intermediate Arabic I","2349","Classics & Mediterran Studies","5","2","1","2","1","0","0","0","0","0","0","0","0","0","0","0","Alyassir, Lina","11"
