"CRS SUBJ CD","CRS NBR","CRS TITLE","DEPT CD","DEPT NAME","A","B","C","D","F","ADV","CR","DFR","I","NG","NR","O","PR","S","U","W","Primary Instructor","Grade Regs"
"ACTG","474","Actg Information Systems","2656","Accounting","22","23","25","5","7","0","0","0","0","0","0","0","0","0","0","3","Gelsomin, Eric","85"
"AH","160","Trends in Contemp Art","2910","Art History","10","16","8","1","1","0","0","0","0","0","0","0","0","0","0","3","Smith, Cassandra A","39"
"AH","303","Writing in Art History","2910","Art History","12","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","Stimson, Blake","13"
"AHS","101","Rehab Sci Student Success","2797","Applied Health Sciences Admin","0","0","0","0","0","0","0","0","0","0","0","0","0","23","3","0","Akinola, Olayemi","26"
"AHS","511","Biostatistics I","2797","Applied Health Sciences Admin","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zejnullahi, Rrita","16"
"ANTH","394","Amazonia","2841","Anthropology","4","4","2","1","0","0","0","0","0","0","0","0","0","0","0","1","Roosevelt, Anna C","12"
"ARAB","101","Elementary Arabic I","2349","Classics & Mediterran Studies","13","3","6","0","1","0","0","0","0","0","0","0","0","0","0","1","Alyassir, Lina","24"
"ARAB","105","Modern Arab Culture","2349","Classics & Mediterran Studies","24","9","0","0","4","0","0","0","0","0","0","0","0","0","0","1","Aburqayeq, Ghassan","38"
"ARCH","151","Architecture at Chicago","2911","School of Architecture","57","28","19","6","5","0","0","0","0","0","0","0","0","0","0","3","Torres, Antonio","118"
"ARCH","205","Architectural Studio 3","2911","School of Architecture","18","30","27","10","0","0","0","0","0","0","0","0","0","0","0","0","Kelley, Thomas","85"
"ARCH","210","Architecture as Archetype","2911","School of Architecture","6","18","12","2","4","0","0","0","0","0","0","0","0","0","0","2","Materia, Barbara","44"
"ARCH","465","Advanced Topic Studio 1","2911","School of Architecture","5","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Ahmed, Zehra Syed","16"
"ARCH","520","Topics in Arch Theory","2911","School of Architecture","8","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Rodriguez, Maria F","11"
"ARCH","522","Topics in Arch Technology","2911","School of Architecture","4","6","0","0","0","0","0","0","0","0","0","0","0","0","0","1","Lally, Sean","11"
"ART","130","Intro to Painting + Color","2583","Art","7","9","1","0","0","0","0","0","1","0","0","0","0","0","0","2","Grad Asst","20"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","16","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","Rathod, Chirag Sharadchandra","19"
"BA","100","Intro to Prof Dev","2785","Business Administration Admini","46","8","4","0","1","0","0","0","0","0","0","0","0","0","0","0","Soriano, Diana Ethel","59"
"BA","200","Business Communication","2785","Business Administration Admini","91","20","5","0","2","0","0","0","0","0","0","0","0","0","0","2","Wang, Jie","120"
"BA","320","Civic Engagement","2785","Business Administration Admini","81","10","3","0","0","0","0","0","0","0","0","0","0","0","0","0","Bosarge, Elizabeth Marie","94"
